Word,Frequency
nêdya,5002
têgêsipun,5001
ngandhap,4974
pukulun,4965
manjing,4964
mara,4960
loro,4948
narpati,4944
wuri,4943
sayêkti,4924
nêmbah,4916
katon,4914
mantuk,4906
isih,4904
laku,4877
mijil,4874
lumampah,4873
walandi,4855
sunan,4843
sirna,4841
satriya,4841
baya,4834
pura,4814
salêbêting,4812
min,4810
pribadi,4803
tamtu,4796
antuk,4787
tumut,4784
nuju,4780
kuda,4767
bênêr,4764
rak,4763
miyarsa,4761
kidul,4756
dêmang,4739
gupuh,4717
manira,4713
jagad,4708
dan,4706
nyuwun,4676
wruh,4668
bagus,4658
rasul,4653
beda,4645
rum,4642
rèh,4641
liya,4639
lara,4624
ng,4622
kinarya,4618
sru,4618
sandika,4583
mangkene,4577
bayi,4565
ri,4564
anggone,4558
katong,4552
pandhita,4540
sakalangkung,4533
barêng,4522
garèng,4494
awaké,4487
wayah,4472
cina,4462
pinanggih,4461
surabaya,4455
payo,4450
mèsêm,4438
krêsna,4438
sok,4434
sarèhning,4432
nca,4427
samangke,4416
alun,4402
kèh,4400
sarwa,4387
kiwa,4384
sugih,4381
mèh,4381
yaiku,4380
benjing,4377
lurah,4373
wukir,4357
ika,4324
salah,4312
anulya,4300
olèh,4269
paring,4264
kene,4245
ring,4241
darbe,4240
swara,4236
aprabu,4236
suci,4210
kutha,4209
amba,4208
ngong,4205
kaca,4196
ii,4187
budhal,4177
jaka,4175
dahat,4171
dèkné,4168
kadang,4166
mulih,4139
het,4138
dosa,4137
surya,4127
kondur,4124
ingwang,4119
dasa,4104
ngajêng,4104
pintên,4103
santana,4101
aywa,4095
mangsuli,4094
jalêr,4094
lêrês,4090
age,4077
cara,4074
kagungan,4071
pantês,4055
nyata,4041
atus,4039
gangsal,4035
aturipun,4012
mênawi,4010
gêndhing,4010
mangkya,4004
mangkat,3989
driya,3988
maha,3975
mulat,3973
munggèng,3970
pating,3968
sèwu,3967
mêntas,3961
cilik,3947
sintên,3946
dika,3945
mangan,3934
panggenan,3933
nêdha,3917
murih,3914
nyai,3904
têgêse,3901
sapisan,3890
puniki,3888
utusan,3870
adamêl,3868
golongan,3861
kawontênanipun,3856
madura,3849
putranipun,3841
wusana,3831
kurang,3817
yuda,3816
salêbêtipun,3815
wastani,3813
sakawan,3807
pajang,3807
tuhu,3805
ajêng,3795
dupi,3788
wajib,3785
santri,3783
donya,3780
pitung,3779
pêrang,3777
ajrih,3770
mêtu,3767
karaton,3766
kabar,3762
kacariyos,3760
dhasar,3757
duta,3755
sêdya,3747
aprang,3741
ywa,3738
sasi,3726
susah,3712
rêmbag,3711
besuk,3707
manahipun,3705
sawiji,3703
kintên,3702
ngangge,3700
têbih,3700
rame,3696
rahadèn,3694
sela,3685
mênyang,3684
asih,3681
mrih,3680
sinung,3669
têtêp,3661
minggah,3650
wêkasan,3650
miyos,3645
pandhawa,3643
ulam,3642
tumuntên,3639
wontênipun,3634
kadospundi,3623
lampahe,3616
narapati,3614
kadhaton,3610
marma,3602
ngling,3599
banyu,3593
radyan,3592
kalangkung,3591
panêmbahan,3589
omah,3588
ji,3585
wisma,3582
kristus,3580
langit,3567
rara,3567
cariyos,3561
pakêmpalan,3560
lagya,3560
ditya,3550
gambar,3545
mêngkono,3539
dhawah,3515
lampahira,3515
petruk,3514
manut,3508
adhi,3488
kagyat,3485
kalbu,3470
tri,3465
têmah,3459
têmbe,3456
asta,3455
awon,3445
angin,3434
sa,3433
arum,3431
cipta,3430
ajurit,3426
kali,3425
wanita,3412
nglakoni,3408
adi,3398
kalayan,3397
nyang,3397
ngastina,3395
sedulur,3393
rong,3376
dalah,3354
yang,3349
satus,3345
pirang,3342
pasthi,3338
kalampahan,3335
arjuna,3334
ature,3326
he,3322
kewan,3320
mêksa,3313
matawis,3306
antara,3297
lunga,3296
ikang,3290
uwis,3284
amarga,3283
kajêng,3283
isi,3278
ngêndi,3278
têdhak,3274
panjenengané,3272
liyane,3269
sakêdhik,3265
mirêng,3258
pasisir,3257
laju,3255
sanalika,3247
sêmbah,3243
rasa,3242
saèstu,3234
kawan,3229
puri,3225
sabda,3223
kina,3216
ka,3216
salajêngipun,3214
ngomong,3206
warga,3205
tampi,3197
kabeh,3190
kartasura,3187
islam,3187
panggalih,3186
ewadene,3184
pangkat,3183
kajawèn,3183
wadyabala,3182
muni,3172
kanan,3171
pamulangan,3166
majêng,3155
panggih,3148
prawira,3144
no,3143
muwus,3139
kesah,3135
wadana,3135
dhahar,3132
lair,3128
krama,3128
gêng,3116
rampung,3114
agami,3103
sangka,3099
manggih,3085
baita,3072
pulisi,3057
nandhang,3056
sêdaya,3053
mangsah,3046
dêmak,3045
bang,3039
lumaris,3034
puluh,3033
utama,3031
suku,3023
nomêr,3022
têngên,3020
manis,3012
akathah,3007
susuhunan,3007
sadhèrèk,3006
pamit,3004
rata,3001
winuwus,2988
punapadene,2987
dunya,2983
nitih,2982
mangkunagara,2979
pêthak,2977
raos,2976
aksara,2976
kusuma,2972
murid,2971
brahmana,2959
jalu,2956
anama,2948
wêlas,2930
asru,2927
ada,2925
anggèr,2922
lon,2917
bale,2916
ris,2901
pupuh,2901
aningali,2901
singa,2899
pranatan,2898
kitab,2896
ringgit,2894
sanak,2893
rêdi,2892
mula,2885
kae,2881
bubar,2878
kêmbang,2863
putih,2856
nate,2854
karsane,2853
rumaos,2853
sagunging,2839
upami,2834
linggih,2832
pêrlu,2828
rajèng,2828
gumuruh,2825
kalamun,2823
kilèn,2819
gêgaman,2814
wasana,2813
siyang,2810
têlas,2806
ênggone,2806
karsaning,2802
kapanggih,2800
sêmu,2791
gantya,2789
residhèn,2788
tangan,2785
pa,2780
kakung,2776
mulya,2776
asring,2776
wali,2776
swarga,2775
prayoga,2772
pira,2771
israel,2768
tunggal,2762
arep,2762
dipatya,2760
dhuwit,2748
tumindak,2748
wingking,2747
menak,2745
sagêda,2738
satunggiling,2737
pêksi,2737
busana,2736
sêsakit,2733
kawarnaa,2733
atine,2731
pitu,2731
rat,2725
bawah,2722
sisih,2721
buku,2717
kulup,2716
gêdhong,2711
mapan,2705
sangsaya,2705
den,2705
imam,2704
ma,2702
suksma,2702
sarira,2692
alus,2692
ènèng,2686
pangandikanipun,2684
rupiyah,2684
lampahing,2683
roh,2682
tamu,2680
lèpèn,2677
nêm,2668
ardi,2668
kadamêl,2666
suwe,2662
la,2661
wiji,2659
pak,2656
seda,2655
kawontênan,2655
winarna,2651
wicaksana,2649
sak,2649
dhoktêr,2649
pulo,2648
ayuda,2643
awak,2641
ngaturi,2640
anggèning,2637
warsa,2637
bungah,2634
ting,2633
pramèswari,2632
rahayu,2631
anake,2630
kering,2629
mawa,2622
dalan,2620
duka,2620
gajah,2619
eca,2613
anyar,2606
dumunung,2606
ragi,2603
tapa,2602
kori,2600
têrang,2599
piyambakipun,2592
menyang,2590
kabêkta,2587
putrane,2586
ngucap,2585
priyayi,2585
amrih,2582
manusa,2580
eyang,2577
lampus,2577
ngarsane,2575
surat,2574
andika,2572
uwong,2571
pangandika,2566
kawarna,2564
pracaya,2557
êndi,2555
ambêkta,2552
dhingin,2546
alam,2542
tau,2532
sum,2532
maos,2530
panjenengan,2529
taman,2526
kancil,2523
krungu,2522
sura,2522
jawata,2521
ngèlmu,2514
agama,2511
sakèhing,2501
gampil,2500
sari,2499
priya,2498
andadosakên,2498
têtela,2497
een,2492
pangantèn,2489
kantor,2486
kardi,2484
lumayu,2482
pustaka,2474
wênang,2472
kunêng,2470
priksa,2468
nangis,2465
pisah,2464
watak,2464
cêtha,2464
zie,2464
kadosdene,2463
mulané,2462
milu,2457
eling,2451
ingong,2451
undhang,2449
têrus,2449
pangandikane,2446
kayu,2444
panggonan,2439
yèku,2438
wusnya,2433
daya,2427
naga,2424
wêngi,2424
tuwuh,2420
kaparingan,2416
madêg,2415
ilang,2413
catur,2413
tumraping,2408
lali,2407
nini,2406
pangrèh,2406
rupa,2402
giri,2401
dhateng,2399
aturira,2390
jendral,2387
panjenengane,2384
panèwu,2378
inggris,2377
patang,2375
lintang,2374
mundhut,2372
nunggil,2371
panjang,2370
sastra,2365
manggèn,2361
kalêbêt,2352
pêpak,2352
winarni,2349
pêpatih,2339
pawartos,2338
ngungun,2338
ngono,2338
binêkta,2329
sapanunggilanipun,2328
wujud,2323
ara,2321
têlu,2315
apadene,2314
kuning,2313
anggèn,2306
dak,2304
lumaku,2298
ngadêg,2298
lawas,2295
tiwas,2290
jêmparing,2290
mangkin,2284
kapitan,2280
samubarang,2279
katrangan,2279
yun,2279
kiyai,2270
cêlak,2266
bareng,2261
wurung,2261
èngêt,2260
tulis,2255
sakêdhap,2253
ngayun,2252
te,2251
luput,2250
rada,2247
lakune,2242
kapriye,2241
tiba,2240
arab,2240
kêrêp,2240
watu,2237
cahya,2236
wicantên,2236
antawis,2235
yesus,2235
sanga,2234
dasih,2233
surak,2226
satunggil,2222
guwa,2220
iii,2217
lêlampahan,2217
ajar,2214
anggêr,2214
dhisik,2213
pawèstri,2213
tumingal,2212
dede,2207
yudhisthira,2207
sanajan,2202
lumêbêt,2202
sarya,2201
kira,2200
asri,2199
wondene,2198
gêlêm,2194
pangulu,2193
têmtu,2193
rêmên,2186
sirèku,2185
gêni,2181
bidhal,2177
adhuh,2174
pinggir,2169
èwu,2167
nala,2162
ratri,2162
batawi,2160
tinimbang,2159
kadhawuhan,2157
tangi,2155
ngaturakên,2149
tukang,2148
jênêng,2143
samodra,2138
nyambut,2138
nindakakên,2134
of,2133
ngayogyakarta,2131
turu,2128
sadèrèngipun,2127
mênggahing,2125
anakipun,2123
piwulang,2121
sanjata,2120
natèng,2120
wonten,2118
kajaba,2118
